Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife
RUS,36.0,97.607,30.979,42.831,23.797,HARD,5.0
SAI,36.0,97.706,31.197,42.728,23.781,HARD,5.0
VER,36.0,100.964,31.35,42.582,27.032,SOFT,22.0
ALO,37.0,97.431,31.186,42.184,24.061,HARD,3.0
HAM,37.0,97.388,31.413,42.243,23.732,HARD,7.0
LEC,37.0,97.17,31.07,42.385,23.715,HARD,4.0
RUS,37.0,97.822,31.049,43.002,23.771,HARD,6.0
SAI,37.0,97.13,31.018,42.443,23.669,HARD,6.0
VER,37.0,118.49,52.755,42.071,23.664,HARD,1.0
ALO,38.0,97.002,30.763,42.308,23.931,HARD,4.0
HAM,38.0,98.304,31.05,43.267,23.987,HARD,8.0
LEC,38.0,97.17,31.091,42.444,23.635,HARD,5.0
RUS,38.0,97.66,30.994,42.854,23.812,HARD,7.0
SAI,38.0,97.444,31.096,42.608,23.74,HARD,7.0
VER,38.0,96.297,31.034,41.772,23.491,HARD,2.0
ALO,39.0,97.243,31.244,42.303,23.696,HARD,5.0
HAM,39.0,97.478,30.837,42.719,23.922,HARD,9.0
LEC,39.0,97.287,31.103,42.564,23.62,HARD,6.0
RUS,39.0,97.495,30.971,42.712,23.812,HARD,8.0
SAI,39.0,97.403,31.044,42.593,23.766,HARD,8.0
VER,39.0,96.446,30.818,42.125,23.503,HARD,3.0
ALO,40.0,97.208,31.221,42.306,23.681,HARD,6.0
HAM,40.0,97.494,30.768,42.806,23.92,HARD,10.0
LEC,40.0,,,,,HARD,7.0
RUS,40.0,98.085,31.006,42.651,24.428,HARD,9.0
SAI,40.0,97.587,31.207,42.653,23.727,HARD,9.0
VER,40.0,96.942,31.175,42.247,23.52,HARD,4.0
ALO,41.0,126.713,39.952,58.704,28.057,HARD,7.0
HAM,41.0,126.491,40.61,57.504,28.377,HARD,11.0
RUS,41.0,126.293,46.011,56.1,24.182,HARD,10.0
SAI,41.0,126.436,39.595,57.789,29.052,HARD,10.0
VER,41.0,120.495,31.381,55.533,33.581,HARD,5.0
ALO,42.0,96.334,30.908,41.746,23.68,HARD,8.0
HAM,42.0,97.061,30.924,42.354,23.783,HARD,12.0
RUS,42.0,97.035,30.782,42.391,23.862,HARD,11.0
